Request Year:,2024
Test:,201
Test Description:,
TestRegime Name:,LMB NMC622 100cyc C/2
TestRegime Suffix:,DEMO
TestRegime CellSize:,Pouch 3.5Ah
TestRegime Version:,1
Project Group Name:,LMB Research
Project Group Description:,Lithium Metal Battery cycling study
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names
LotID:,
Lot Description:,
Date Made:,3/01/2024 0:00
Origin:,Lab
Requestor:,Demo
Product ID:,LMB-NMC622-Pouch
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,03/15/2024 10:00:00
End Time:,1/1/0001 0:00
Operator Instructions:,Synthetic demo data for LMBAgent
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2024,201,1,1,3500,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
201,1,LAB01,001,1,,315,78,760133.231,1004,1004,3600,1004,03/24/2024 05:07:54,03/15/2024 10:00:00,3753.3267,-1750.0,1750.000,488.120,6080.245,1923.881,2,0,0,0,0,0,62.8,0,24.90,27.42,,,,
201,1,LAB01,001,1,,315,78,760192.298,1063,1063,3600,1063,03/24/2024 05:08:53,03/15/2024 10:00:00,3731.2992,-1750.0,1750.000,516.832,6080.245,2031.017,2,0,0,0,0,0,62.8,0,24.92,27.96,,,,
201,1,LAB01,001,1,,315,78,760251.364,1122,1122,3600,1122,03/24/2024 05:09:52,03/15/2024 10:00:00,3708.2420,-1750.0,1750.000,545.545,6080.245,2137.492,2,0,0,0,0,0,62.8,0,25.16,28.08,,,,
201,1,LAB01,001,1,,315,78,760310.431,1181,1181,3600,1181,03/24/2024 05:10:51,03/15/2024 10:00:00,3684.0239,-1750.0,1750.000,574.258,6080.245,2243.271,2,0,0,0,0,0,62.8,0,25.00,27.89,,,,
201,1,LAB01,001,1,,315,78,760369.498,1240,1240,3600,1240,03/24/2024 05:11:50,03/15/2024 10:00:00,3658.9370,-1750.0,1750.000,602.971,6080.245,2348.329,30,0,0,0,0,0,62.8,0,25.01,28.04,,,,
201,1,LAB01,001,1,,315,78,760428.564,1299,1299,3600,1299,03/24/2024 05:12:49,03/15/2024 10:00:00,3635.5192,-1750.0,1750.000,631.684,6080.245,2452.716,2,0,0,0,0,0,62.8,0,24.88,27.80,,,,
201,1,LAB01,001,1,,315,78,760487.631,1359,1359,3600,1359,03/24/2024 05:13:48,03/15/2024 10:00:00,3612.4579,-1750.0,1750.000,660.397,6080.245,2556.440,2,0,0,0,0,0,62.8,0,24.88,28.30,,,,
201,1,LAB01,001,1,,315,78,760546.697,1418,1418,3600,1418,03/24/2024 05:14:47,03/15/2024 10:00:00,3587.5032,-1750.0,1750.000,689.110,6080.245,2659.448,2,0,0,0,0,0,62.8,0,24.94,28.12,,,,
201,1,LAB01,001,1,,315,78,760605.764,1477,1477,3600,1477,03/24/2024 05:15:46,03/15/2024 10:00:00,3564.4115,-1750.0,1750.000,717.823,6080.245,2761.792,2,0,0,0,0,0,62.8,0,24.98,27.92,,,,
201,1,LAB01,001,1,,315,78,760664.830,1536,1536,3600,1536,03/24/2024 05:16:45,03/15/2024 10:00:00,3540.4103,-1750.0,1750.000,746.536,6080.245,2863.448,2,0,0,0,0,0,62.8,0,25.00,28.40,,,,
201,1,LAB01,001,1,,315,78,760723.897,1595,1595,3600,1595,03/24/2024 05:17:44,03/15/2024 10:00:00,3517.3685,-1750.0,1750.000,775.249,6080.245,2964.442,2,0,0,0,0,0,62.8,0,24.99,28.34,,,,
201,1,LAB01,001,1,,315,78,760782.964,1654,1654,3600,1654,03/24/2024 05:18:43,03/15/2024 10:00:00,3491.9570,-1750.0,1750.000,803.962,6080.245,3064.706,2,0,0,0,0,0,62.8,0,24.84,28.13,,,,
201,1,LAB01,001,1,,315,78,760842.030,1713,1713,3600,1713,03/24/2024 05:19:42,03/15/2024 10:00:00,3467.2852,-1750.0,1750.000,832.675,6080.245,3164.262,2,0,0,0,0,0,62.8,0,24.94,27.96,,,,
201,1,LAB01,001,1,,315,78,760901.097,1772,1772,3600,1772,03/24/2024 05:20:42,03/15/2024 10:00:00,3443.7280,-1750.0,1750.000,861.387,6080.245,3263.141,2,0,0,0,0,0,62.8,0,25.02,28.58,,,,
201,1,LAB01,001,1,,315,78,760960.163,1831,1831,3600,1831,03/24/2024 05:21:41,03/15/2024 10:00:00,3418.5427,-1750.0,1750.000,890.100,6080.245,3361.298,30,0,0,0,0,0,62.8,0,24.93,28.22,,,,
201,1,LAB01,001,1,,315,78,761019.230,1890,1890,3600,1890,03/24/2024 05:22:40,03/15/2024 10:00:00,3394.8719,-1750.0,1750.000,918.813,6080.245,3458.774,2,0,0,0,0,0,62.8,0,24.83,28.20,,,,
201,1,LAB01,001,1,,315,78,761078.296,1949,1949,3600,1949,03/24/2024 05:23:39,03/15/2024 10:00:00,3372.5492,-1750.0,1750.000,947.526,6080.245,3555.610,2,0,0,0,0,0,62.8,0,24.81,28.13,,,,
201,1,LAB01,001,1,,315,78,761137.363,2008,2008,3600,2008,03/24/2024 05:24:38,03/15/2024 10:00:00,3345.9466,-1750.0,1750.000,976.239,6080.245,3651.682,2,0,0,0,0,0,62.8,0,24.93,28.12,,,,
201,1,LAB01,001,1,,315,78,761196.430,2067,2067,3600,2067,03/24/2024 05:25:37,03/15/2024 10:00:00,3321.8054,-1750.0,1750.000,1004.952,6080.245,3747.061,2,0,0,0,0,0,62.8,0,25.00,28.14,,,,
201,1,LAB01,001,1,,315,78,761255.496,2126,2126,3600,2126,03/24/2024 05:26:36,03/15/2024 10:00:00,3299.4326,-1750.0,1750.000,1033.665,6080.245,3841.797,2,0,0,0,0,0,62.8,0,25.15,28.37,,,,
201,1,LAB01,001,1,,315,78,761314.563,2185,2185,3600,2185,03/24/2024 05:27:35,03/15/2024 10:00:00,3273.8923,-1750.0,1750.000,1062.378,6080.245,3935.800,2,0,0,0,0,0,62.8,0,24.76,27.91,,,,
201,1,LAB01,001,1,,315,78,761373.629,2245,2245,3600,2245,03/24/2024 05:28:34,03/15/2024 10:00:00,3250.2761,-1750.0,1750.000,1091.091,6080.245,4029.125,2,0,0,0,0,0,62.8,0,24.84,27.75,,,,
201,1,LAB01,001,1,,315,78,761432.696,2304,2304,3600,2304,03/24/2024 05:29:33,03/15/2024 10:00:00,3224.5142,-1750.0,1750.000,1119.804,6080.245,4121.710,2,0,0,0,0,0,62.8,0,24.85,27.57,,,,
201,1,LAB01,001,1,,315,78,761491.762,2363,2363,3600,2363,03/24/2024 05:30:32,03/15/2024 10:00:00,3200.3991,-1750.0,1750.000,1148.517,6080.245,4213.603,2,0,0,0,0,0,62.8,0,24.88,27.92,,,,
201,1,LAB01,001,1,,315,78,761550.829,2422,2422,3600,2422,03/24/2024 05:31:31,03/15/2024 10:00:00,3176.0117,-1750.0,1750.000,1177.229,6080.245,4304.795,30,0,0,0,0,0,62.8,0,25.09,27.97,,,,
201,1,LAB01,001,1,,315,78,761609.896,2481,2481,3600,2481,03/24/2024 05:32:30,03/15/2024 10:00:00,3149.4673,-1750.0,1750.000,1205.942,6080.245,4395.226,2,0,0,0,0,0,62.8,0,25.04,27.87,,,,
201,1,LAB01,001,1,,315,78,761668.962,2540,2540,3600,2540,03/24/2024 05:33:29,03/15/2024 10:00:00,3125.2652,-1750.0,1750.000,1234.655,6080.245,4484.961,2,0,0,0,0,0,62.8,0,25.02,27.90,,,,
201,1,LAB01,001,1,,315,78,761728.029,2599,2599,3600,2599,03/24/2024 05:34:28,03/15/2024 10:00:00,3100.5142,-1750.0,1750.000,1263.368,6080.245,4573.986,2,0,0,0,0,0,62.8,0,25.00,27.59,,,,
201,1,LAB01,001,1,,315,78,761787.095,2658,2658,3600,2658,03/24/2024 05:35:28,03/15/2024 10:00:00,3078.5021,-1750.0,1750.000,1292.081,6080.245,4662.379,2,0,0,0,0,0,62.8,0,24.97,27.61,,,,
201,1,LAB01,001,1,,315,78,761846.162,2717,2717,3600,2717,03/24/2024 05:36:27,03/15/2024 10:00:00,3052.0917,-1750.0,1750.000,1320.794,6080.245,4750.013,2,0,0,0,0,0,62.8,0,25.15,27.26,,,,
201,1,LAB01,001,1,,315,78,761905.228,2776,2776,3600,2776,03/24/2024 05:37:26,03/15/2024 10:00:00,3026.9231,-1750.0,1750.000,1349.507,6080.245,4836.925,2,0,0,0,0,0,62.8,0,25.10,27.67,,,,
201,1,LAB01,001,1,,315,78,761964.295,2835,2835,3600,2835,03/24/2024 05:38:25,03/15/2024 10:00:00,3003.5429,-1750.0,1750.000,1378.220,6080.245,4923.165,2,0,0,0,0,0,62.8,0,24.99,27.34,,,,
201,1,LAB01,001,1,,315,78,762023.361,2894,2894,3600,2894,03/24/2024 05:39:24,03/15/2024 10:00:00,2977.6701,-1750.0,1750.000,1406.933,6080.245,5008.663,2,0,0,0,0,0,62.8,0,25.00,27.08,,,,
201,1,LAB01,001,1,,315,78,762082.428,2953,2953,3600,2953,03/24/2024 05:40:23,03/15/2024 10:00:00,2951.8214,-1750.0,1750.000,1435.646,6080.245,5093.418,2,0,0,0,0,0,62.8,0,25.08,27.28,,,,
201,1,LAB01,001,1,,315,78,762141.495,3012,3012,3600,3012,03/24/2024 05:41:22,03/15/2024 10:00:00,2927.4778,-1750.0,1750.000,1464.359,6080.245,5177.475,30,0,0,0,0,0,62.8,0,24.87,26.78,,,,
201,1,LAB01,001,1,,315,78,762200.561,3071,3071,3600,3071,03/24/2024 05:42:21,03/15/2024 10:00:00,2902.1128,-1750.0,1750.000,1493.072,6080.245,5260.803,2,0,0,0,0,0,62.8,0,25.02,26.94,,,,
201,1,LAB01,001,1,,315,78,762259.628,3131,3131,3600,3131,03/24/2024 05:43:20,03/15/2024 10:00:00,2877.1076,-1750.0,1750.000,1521.784,6080.245,5343.413,2,0,0,0,0,0,62.8,0,24.96,26.75,,,,
201,1,LAB01,001,1,,315,78,762318.694,3190,3190,3600,3190,03/24/2024 05:44:19,03/15/2024 10:00:00,2851.7401,-1750.0,1750.000,1550.497,6080.245,5425.295,2,0,0,0,0,0,62.8,0,24.94,26.59,,,,
201,1,LAB01,001,1,,315,78,762377.761,3249,3249,3600,3249,03/24/2024 05:45:18,03/15/2024 10:00:00,2826.4816,-1750.0,1750.000,1579.210,6080.245,5506.451,2,0,0,0,0,0,62.8,0,25.11,26.53,,,,
201,1,LAB01,001,1,,315,78,762436.827,3308,3308,3600,3308,03/24/2024 05:46:17,03/15/2024 10:00:00,2800.5877,-1750.0,1750.000,1607.923,6080.245,5586.864,2,0,0,0,0,0,62.8,0,25.02,26.29,,,,
201,1,LAB01,001,1,,315,78,762495.894,3367,3367,3600,3367,03/24/2024 05:47:16,03/15/2024 10:00:00,2776.2478,-1750.0,1750.000,1636.636,6080.245,5666.579,2,0,0,0,0,0,62.8,0,25.09,26.40,,,,
201,1,LAB01,001,1,,315,78,762554.961,3426,3426,3600,3426,03/24/2024 05:48:15,03/15/2024 10:00:00,2750.0597,-1750.0,1750.000,1665.349,6080.245,5745.541,2,0,0,0,0,0,62.8,0,25.00,25.99,,,,
201,1,LAB01,001,1,,315,78,762614.027,3485,3485,3600,3485,03/24/2024 05:49:14,03/15/2024 10:00:00,2724.5132,-1750.0,1750.000,1694.062,6080.245,5823.770,2,0,0,0,0,0,62.8,0,25.13,26.15,,,,
201,1,LAB01,001,1,,315,78,762673.094,3544,3544,3600,3544,03/24/2024 05:50:14,03/15/2024 10:00:00,2700.8503,-1750.0,1750.000,1722.775,6080.245,5901.319,2,0,0,0,0,0,62.8,0,25.04,25.88,,,,
201,1,LAB01,001,1,,316,79,762693.094,0,0,0,0,03/24/2024 05:51:13,03/15/2024 10:00:00,2902.0045,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,63.1,0,24.98,24.98,,,,
201,1,LAB01,001,1,,316,79,762713.094,0,20,0,0,03/24/2024 05:51:33,03/15/2024 10:00:00,2904.9497,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,63.1,0,24.96,24.96,,,,
201,1,LAB01,001,1,,316,79,762733.094,0,40,0,0,03/24/2024 05:51:53,03/15/2024 10:00:00,2906.3574,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,63.1,0,24.88,24.88,,,,
201,1,LAB01,001,1,,316,79,762753.094,0,60,0,0,03/24/2024 05:52:13,03/15/2024 10:00:00,2904.7420,0.0,0.000,0.000,0.000,0.000,30,0,0,0,0,0,63.1,0,25.03,25.03,,,,
201,1,LAB01,001,1,,316,79,762773.094,0,80,0,0,03/24/2024 05:52:33,03/15/2024 10:00:00,2903.5088,0.0,0.000,0.000,0.000,0.000,2,0,0,0,0,0,63.1,0,24.99,24.99,,,,
201,1,LAB01,001,1,,317,79,762833.094,60,60,60,0,03/24/2024 05:52:53,03/15/2024 10:00:00,2773.5006,1750.0,29.167,0.000,80.894,0.000,30,0,0,0,0,0,63.1,0,24.87,25.77,,,,
201,1,LAB01,001,1,,317,79,762893.094,120,120,120,0,03/24/2024 05:53:53,03/15/2024 10:00:00,2795.5664,1750.0,58.333,0.000,162.431,0.000,2,0,0,0,0,0,63.1,0,25.07,25.96,,,,
201,1,LAB01,001,1,,317,79,762953.094,180,180,180,0,03/24/2024 05:54:53,03/15/2024 10:00:00,2818.5410,1750.0,87.500,0.000,244.639,0.000,2,0,0,0,0,0,63.1,0,24.96,26.04,,,,
201,1,LAB01,001,1,,317,79,763013.094,240,240,240,0,03/24/2024 05:55:53,03/15/2024 10:00:00,2841.5591,1750.0,116.667,0.000,327.517,0.000,2,0,0,0,0,0,63.1,0,25.08,26.20,,,,
201,1,LAB01,001,1,,317,79,763073.094,300,300,300,0,03/24/2024 05:56:53,03/15/2024 10:00:00,2863.6187,1750.0,145.833,0.000,411.040,0.000,2,0,0,0,0,0,63.1,0,24.89,26.12,,,,
201,1,LAB01,001,1,,317,79,763133.094,360,360,360,0,03/24/2024 05:57:53,03/15/2024 10:00:00,2888.5769,1750.0,175.000,0.000,495.290,0.000,2,0,0,0,0,0,63.1,0,24.98,26.30,,,,
201,1,LAB01,001,1,,317,79,763193.094,420,420,420,0,03/24/2024 05:58:53,03/15/2024 10:00:00,2911.8046,1750.0,204.167,0.000,580.217,0.000,2,0,0,0,0,0,63.1,0,24.97,26.38,,,,
201,1,LAB01,001,1,,317,79,763253.094,480,480,480,0,03/24/2024 05:59:53,03/15/2024 10:00:00,2933.9080,1750.0,233.333,0.000,665.790,0.000,2,0,0,0,0,0,63.1,0,24.82,26.56,,,,
201,1,LAB01,001,1,,317,79,763313.094,540,540,540,0,03/24/2024 06:00:53,03/15/2024 10:00:00,2957.4892,1750.0,262.500,0.000,752.050,0.000,2,0,0,0,0,0,63.1,0,24.91,26.75,,,,
201,1,LAB01,001,1,,317,79,763373.094,600,600,600,0,03/24/2024 06:01:53,03/15/2024 10:00:00,2981.6990,1750.0,291.667,0.000,839.016,0.000,2,0,0,0,0,0,63.1,0,24.98,27.12,,,,
201,1,LAB01,001,1,,317,79,763433.094,660,660,660,0,03/24/2024 06:02:53,03/15/2024 10:00:00,3003.3974,1750.0,320.833,0.000,926.615,0.000,30,0,0,0,0,0,63.1,0,25.04,27.19,,,,
201,1,LAB01,001,1,,317,79,763493.094,720,720,720,0,03/24/2024 06:03:53,03/15/2024 10:00:00,3027.1036,1750.0,350.000,0.000,1014.906,0.000,2,0,0,0,0,0,63.1,0,25.14,27.45,,,,
201,1,LAB01,001,1,,317,79,763553.094,780,780,780,0,03/24/2024 06:04:53,03/15/2024 10:00:00,3051.2594,1750.0,379.167,0.000,1103.901,0.000,2,0,0,0,0,0,63.1,0,24.82,27.06,,,,
201,1,LAB01,001,1,,317,79,763613.094,840,840,840,0,03/24/2024 06:05:53,03/15/2024 10:00:00,3075.4028,1750.0,408.333,0.000,1193.600,0.000,2,0,0,0,0,0,63.1,0,24.91,27.19,,,,
201,1,LAB01,001,1,,317,79,763673.094,900,900,900,0,03/24/2024 06:06:53,03/15/2024 10:00:00,3098.2210,1750.0,437.500,0.000,1283.965,0.000,2,0,0,0,0,0,63.1,0,24.88,27.24,,,,
201,1,LAB01,001,1,,317,79,763733.094,960,960,960,0,03/24/2024 06:07:53,03/15/2024 10:00:00,3122.6497,1750.0,466.667,0.000,1375.042,0.000,2,0,0,0,0,0,63.1,0,24.97,27.58,,,,
201,1,LAB01,001,1,,317,79,763793.094,1020,1020,1020,0,03/24/2024 06:08:53,03/15/2024 10:00:00,3144.5235,1750.0,495.833,0.000,1466.757,0.000,2,0,0,0,0,0,63.1,0,24.98,27.74,,,,
201,1,LAB01,001,1,,317,79,763853.094,1080,1080,1080,0,03/24/2024 06:09:53,03/15/2024 10:00:00,3168.3279,1750.0,525.000,0.000,1559.167,0.000,2,0,0,0,0,0,63.1,0,24.80,27.76,,,,
201,1,LAB01,001,1,,317,79,763913.094,1140,1140,1140,0,03/24/2024 06:10:53,03/15/2024 10:00:00,3194.2452,1750.0,554.167,0.000,1652.332,0.000,2,0,0,0,0,0,63.1,0,25.00,27.93,,,,
201,1,LAB01,001,1,,317,79,763973.094,1200,1200,1200,0,03/24/2024 06:11:53,03/15/2024 10:00:00,3217.0792,1750.0,583.333,0.000,1746.164,0.000,2,0,0,0,0,0,63.1,0,24.90,27.72,,,,
201,1,LAB01,001,1,,317,79,764033.094,1260,1260,1260,0,03/24/2024 06:12:53,03/15/2024 10:00:00,3240.2622,1750.0,612.500,0.000,1840.671,0.000,30,0,0,0,0,0,63.1,0,25.11,28.19,,,,
201,1,LAB01,001,1,,317,79,764093.094,1320,1320,1320,0,03/24/2024 06:13:53,03/15/2024 10:00:00,3264.0247,1750.0,641.667,0.000,1935.872,0.000,2,0,0,0,0,0,63.1,0,25.15,28.42,,,,
201,1,LAB01,001,1,,317,79,764153.094,1380,1380,1380,0,03/24/2024 06:14:53,03/15/2024 10:00:00,3287.7483,1750.0,670.833,0.000,2031.765,0.000,2,0,0,0,0,0,63.1,0,24.98,28.17,,,,
201,1,LAB01,001,1,,317,79,764213.094,1440,1440,1440,0,03/24/2024 06:15:53,03/15/2024 10:00:00,3311.5870,1750.0,700.000,0.000,2128.353,0.000,2,0,0,0,0,0,63.1,0,25.03,28.26,,,,
201,1,LAB01,001,1,,317,79,764273.094,1500,1500,1500,0,03/24/2024 06:16:53,03/15/2024 10:00:00,3336.2792,1750.0,729.167,0.000,2225.661,0.000,2,0,0,0,0,0,63.1,0,24.94,27.80,,,,
201,1,LAB01,001,1,,317,79,764333.094,1560,1560,1560,0,03/24/2024 06:17:53,03/15/2024 10:00:00,3359.1313,1750.0,758.333,0.000,2323.636,0.000,2,0,0,0,0,0,63.1,0,24.92,28.19,,,,
201,1,LAB01,001,1,,317,79,764393.094,1620,1620,1620,0,03/24/2024 06:18:53,03/15/2024 10:00:00,3383.9039,1750.0,787.500,0.000,2422.333,0.000,2,0,0,0,0,0,63.1,0,25.05,28.16,,,,
201,1,LAB01,001,1,,317,79,764453.094,1680,1680,1680,0,03/24/2024 06:19:53,03/15/2024 10:00:00,3409.6246,1750.0,816.667,0.000,2521.780,0.000,2,0,0,0,0,0,63.1,0,24.98,27.93,,,,
201,1,LAB01,001,1,,317,79,764513.094,1740,1740,1740,0,03/24/2024 06:20:53,03/15/2024 10:00:00,3432.1253,1750.0,845.833,0.000,2621.884,0.000,2,0,0,0,0,0,63.1,0,25.10,28.22,,,,
201,1,LAB01,001,1,,317,79,764573.094,1800,1800,1800,0,03/24/2024 06:21:53,03/15/2024 10:00:00,3456.3170,1750.0,875.000,0.000,2722.693,0.000,2,0,0,0,0,0,63.1,0,24.98,28.10,,,,
201,1,LAB01,001,1,,317,79,764633.094,1860,1860,1860,0,03/24/2024 06:22:53,03/15/2024 10:00:00,3480.4561,1750.0,904.167,0.000,2824.206,0.000,30,0,0,0,0,0,63.1,0,25.00,28.16,,,,
201,1,LAB01,001,1,,317,79,764693.094,1920,1920,1920,0,03/24/2024 06:23:53,03/15/2024 10:00:00,3505.0078,1750.0,933.333,0.000,2926.436,0.000,2,0,0,0,0,0,63.1,0,25.17,28.45,,,,
201,1,LAB01,001,1,,317,79,764753.094,1980,1980,1980,0,03/24/2024 06:24:53,03/15/2024 10:00:00,3528.7519,1750.0,962.500,0.000,3029.358,0.000,2,0,0,0,0,0,63.1,0,25.00,28.42,,,,
201,1,LAB01,001,1,,317,79,764813.094,2040,2040,2040,0,03/24/2024 06:25:53,03/15/2024 10:00:00,3552.9630,1750.0,991.667,0.000,3132.986,0.000,2,0,0,0,0,0,63.1,0,24.99,28.15,,,,
201,1,LAB01,001,1,,317,79,764873.094,2100,2100,2100,0,03/24/2024 06:26:53,03/15/2024 10:00:00,3579.0439,1750.0,1020.833,0.000,3237.375,0.000,2,0,0,0,0,0,63.1,0,24.99,28.49,,,,
201,1,LAB01,001,1,,317,79,764933.094,2160,2160,2160,0,03/24/2024 06:27:53,03/15/2024 10:00:00,3603.3113,1750.0,1050.000,0.000,3342.471,0.000,2,0,0,0,0,0,63.1,0,25.03,28.01,,,,
201,1,LAB01,001,1,,317,79,764993.094,2220,2220,2220,0,03/24/2024 06:28:53,03/15/2024 10:00:00,3627.0562,1750.0,1079.167,0.000,3448.260,0.000,2,0,0,0,0,0,63.1,0,25.09,28.50,,,,
201,1,LAB01,001,1,,317,79,765053.094,2280,2280,2280,0,03/24/2024 06:29:53,03/15/2024 10:00:00,3650.1098,1750.0,1108.333,0.000,3554.722,0.000,2,0,0,0,0,0,63.1,0,24.80,27.89,,,,
201,1,LAB01,001,1,,317,79,765113.094,2340,2340,2340,0,03/24/2024 06:30:53,03/15/2024 10:00:00,3674.4354,1750.0,1137.500,0.000,3661.893,0.000,2,0,0,0,0,0,63.1,0,24.97,28.08,,,,
201,1,LAB01,001,1,,317,79,765173.094,2400,2400,2400,0,03/24/2024 06:31:53,03/15/2024 10:00:00,3698.5788,1750.0,1166.667,0.000,3769.768,0.000,2,0,0,0,0,0,63.1,0,25.05,28.12,,,,
201,1,LAB01,001,1,,317,79,765233.094,2460,2460,2460,0,03/24/2024 06:32:53,03/15/2024 10:00:00,3724.7723,1750.0,1195.833,0.000,3878.407,0.000,30,0,0,0,0,0,63.1,0,24.87,27.79,,,,
201,1,LAB01,001,1,,317,79,765293.094,2520,2520,2520,0,03/24/2024 06:33:53,03/15/2024 10:00:00,3749.2633,1750.0,1225.000,0.000,3987.761,0.000,2,0,0,0,0,0,63.1,0,24.95,28.03,,,,
201,1,LAB01,001,1,,317,79,765353.094,2580,2580,2580,0,03/24/2024 06:34:53,03/15/2024 10:00:00,3772.0745,1750.0,1254.167,0.000,4097.780,0.000,2,0,0,0,0,0,63.1,0,24.72,27.39,,,,
201,1,LAB01,001,1,,317,79,765413.094,2640,2640,2640,0,03/24/2024 06:35:53,03/15/2024 10:00:00,3798.7782,1750.0,1283.333,0.000,4208.577,0.000,2,0,0,0,0,0,63.1,0,25.01,27.36,,,,
201,1,LAB01,001,1,,317,79,765473.094,2700,2700,2700,0,03/24/2024 06:36:53,03/15/2024 10:00:00,3821.6561,1750.0,1312.500,0.000,4320.042,0.000,2,0,0,0,0,0,63.1,0,25.15,27.85,,,,
201,1,LAB01,001,1,,317,79,765533.094,2760,2760,2760,0,03/24/2024 06:37:53,03/15/2024 10:00:00,3848.2971,1750.0,1341.667,0.000,4432.284,0.000,2,0,0,0,0,0,63.1,0,24.96,27.53,,,,
201,1,LAB01,001,1,,317,79,765593.094,2820,2820,2820,0,03/24/2024 06:38:53,03/15/2024 10:00:00,3873.2805,1750.0,1370.833,0.000,4545.255,0.000,2,0,0,0,0,0,63.1,0,25.07,27.54,,,,
201,1,LAB01,001,1,,317,79,765653.094,2880,2880,2880,0,03/24/2024 06:39:53,03/15/2024 10:00:00,3897.6486,1750.0,1400.000,0.000,4658.936,0.000,2,0,0,0,0,0,63.1,0,24.90,27.41,,,,
201,1,LAB01,001,1,,317,79,765713.094,2940,2940,2940,0,03/24/2024 06:40:53,03/15/2024 10:00:00,3922.5916,1750.0,1429.167,0.000,4773.345,0.000,2,0,0,0,0,0,63.1,0,25.20,27.31,,,,
201,1,LAB01,001,1,,317,79,765773.094,3000,3000,3000,0,03/24/2024 06:41:53,03/15/2024 10:00:00,3947.7051,1750.0,1458.333,0.000,4888.487,0.000,2,0,0,0,0,0,63.1,0,24.91,26.96,,,,
201,1,LAB01,001,1,,317,79,765833.094,3060,3060,3060,0,03/24/2024 06:42:53,03/15/2024 10:00:00,3973.4249,1750.0,1487.500,0.000,5004.378,0.000,30,0,0,0,0,0,63.1,0,24.92,27.18,,,,
201,1,LAB01,001,1,,317,79,765893.094,3120,3120,3120,0,03/24/2024 06:43:53,03/15/2024 10:00:00,3999.1560,1750.0,1516.667,0.000,5121.020,0.000,2,0,0,0,0,0,63.1,0,25.01,26.87,,,,
201,1,LAB01,001,1,,317,79,765953.094,3180,3180,3180,0,03/24/2024 06:44:53,03/15/2024 10:00:00,4022.6105,1750.0,1545.833,0.000,5238.346,0.000,2,0,0,0,0,0,63.1,0,25.05,26.69,,,,
201,1,LAB01,001,1,,317,79,766013.094,3240,3240,3240,0,03/24/2024 06:45:53,03/15/2024 10:00:00,4048.0894,1750.0,1575.000,0.000,5356.416,0.000,2,0,0,0,0,0,63.1,0,25.00,26.55,,,,
201,1,LAB01,001,1,,317,79,766073.094,3300,3300,3300,0,03/24/2024 06:46:53,03/15/2024 10:00:00,4072.2051,1750.0,1604.167,0.000,5475.188,0.000,2,0,0,0,0,0,63.1,0,24.94,26.41,,,,
201,1,LAB01,001,1,,317,79,766133.094,3360,3360,3360,0,03/24/2024 06:47:53,03/15/2024 10:00:00,4099.4079,1750.0,1633.333,0.000,5594.754,0.000,2,0,0,0,0,0,63.1,0,24.91,26.10,,,,
201,1,LAB01,001,1,,317,79,766193.094,3420,3420,3420,0,03/24/2024 06:48:53,03/15/2024 10:00:00,4124.6301,1750.0,1662.500,0.000,5715.056,0.000,2,0,0,0,0,0,63.1,0,25.05,26.17,,,,
201,1,LAB01,001,1,,317,79,766253.094,3480,3480,3480,0,03/24/2024 06:49:53,03/15/2024 10:00:00,4149.8676,1750.0,1691.667,0.000,5836.094,0.000,2,0,0,0,0,0,63.1,0,24.81,26.20,,,,
201,1,LAB01,001,1,,317,79,766313.094,3540,3540,3540,0,03/24/2024 06:50:53,03/15/2024 10:00:00,4173.5365,1750.0,1720.833,0.000,5957.822,0.000,2,0,0,0,0,0,63.1,0,24.95,25.64,,,,
201,1,LAB01,001,1,,317,79,766373.094,3600,3600,3600,0,03/24/2024 06:51:53,03/15/2024 10:00:00,4200.0000,1750.0,1750.000,0.000,6080.322,0.000,2,0,0,0,0,0,63.1,0,25.07,26.04,,,,
201,1,LAB01,001,1,,318,79,766403.094,0,0,3600,0,03/24/2024 06:52:53,03/15/2024 10:00:00,4190.0076,0.0,1750.000,0.000,6080.322,0.000,30,0,0,0,0,0,63.1,0,24.83,24.83,,,,
